Name,Rating,Pace,Shooting,Passing,Dribbling,Defense,Physical,Vision,Reflex,Composure,Jumping,Foot,Age
Aldo Corzo,70,67,51,63,63,71,70,58,67,65,72,Right,35
Pedro Álvaro,70,64,32,45,53,71,75,31,68,63,75,Right,24
Luís Silva,70,56,67,71,69,60,73,70,61,70,66,Left,31
Matteo Cotali,70,74,52,65,68,65,67,61,70,61,71,Left,27
Tanguy Coulibaly,70,79,59,62,76,42,61,66,50,56,62,Left,23
Lewie Coyle,70,72,49,62,66,66,73,59,67,63,72,Right,28
Matt Crooks,70,65,67,64,68,68,82,70,72,65,78,Right,30
William Cuesta,70,68,69,68,70,46,68,30,68,31,71,Right,31
Michaël Cuisance,70,66,65,74,75,52,65,72,68,62,67,Left,25
Rui Pedro,70,72,68,60,72,30,70,59,68,69,72,Right,26
Damian Dąbrowski,70,70,55,66,66,66,81,65,68,70,78,Right,32
Mats Møller Dæhli,70,63,55,65,78,46,61,69,69,68,56,Right,29
Johan Dahlin,70,65,71,64,64,38,77,45,68,65,68,Right,38
Kryštof Daněk,70,69,61,69,73,26,59,72,69,68,55,Left,21
Bradley Danger,70,75,53,63,67,69,76,65,67,72,80,Right,26
Pál Dárdai,70,70,64,68,73,41,55,70,64,64,59,Left,25
Lukas Daschner,70,72,69,65,73,47,66,69,69,62,76,Right,25
De La Fuente,70,58,55,62,58,71,70,59,67,62,76,Right,25
Hernán De La Fuente,70,85,60,60,71,62,75,49,65,58,76,Right,27
Marcos André,70,72,71,59,68,37,71,60,58,65,82,Right,27
Madson,70,77,65,64,71,20,54,64,65,57,68,Left,25
Del Moral,70,61,62,65,69,67,67,70,66,56,67,Right,24
Fisayo Dele-Bashiru,70,77,69,62,74,57,78,62,62,69,68,Right,23
Karamoko Dembélé,70,83,64,64,74,43,43,66,65,66,47,Left,21
José Devecchi,70,70,66,58,72,47,70,44,70,43,65,Right,29
Raffaele Di Gennaro,70,72,68,62,72,43,66,43,69,67,56,Right,30
Davide Diaw,70,84,67,55,70,27,73,54,67,67,85,Right,32
Juan Cruz,70,78,68,67,75,32,46,66,53,62,50,Left,24
Lorenzo Dickmann,70,69,52,61,66,69,64,60,64,66,61,Right,27
Daryl Dike,70,65,70,47,62,20,79,50,67,52,86,Right,24
Sokratis Dioudis,70,71,69,68,71,42,69,34,66,56,62,Right,31
Franculino,70,77,68,62,70,36,68,61,67,61,79,Left,20
George Dobson,70,54,54,66,64,66,76,65,68,68,69,Right,26
Carlos Domínguez,70,66,28,52,51,71,62,33,68,54,73,Left,23
Álex Domínguez,70,70,69,65,72,42,69,38,67,43,46,Right,26
Doo Hyun Seok,70,82,60,60,71,62,66,58,71,56,71,Right,28
Bruno Nazario,70,77,69,70,73,45,56,71,73,72,66,Left,29
Daniel Penha,70,70,66,71,73,33,60,72,56,56,55,Left,25
Cody Drameh,70,80,35,61,68,66,70,58,65,60,74,Right,22
Couhaib Driouech,70,93,59,57,73,26,67,58,68,65,58,Left,22
Jeremy Dudziak,70,70,61,70,75,64,65,74,68,71,69,Left,29
Milan Đurić,70,32,71,55,61,32,81,50,74,81,85,Right,34
Serdar Dursun,70,56,71,59,66,40,74,57,71,72,71,Right,32
Dennis Eckert Ayensa,70,74,71,50,69,27,61,48,63,62,78,Right,27
George Edmundson,70,69,35,51,57,68,80,52,65,63,75,Right,27
Samuel Edozie,70,81,61,63,73,28,52,65,66,67,56,Right,21
Victor Edvardsen,70,79,69,63,69,27,79,61,64,68,73,Right,28
Johannes Eggestein,70,62,70,69,72,37,62,71,69,68,73,Right,26
İrfan Can Eğribayat,70,70,70,69,73,47,68,51,63,37,61,Right,26
Kingsley Ehizibue,70,88,57,62,69,65,75,59,67,65,86,Right,29
Khalid Eissa,70,71,67,58,75,49,68,50,67,49,55,Right,34
Albin Ekdal,70,37,65,72,67,67,69,71,63,73,62,Right,35
Caleb Ekuban,70,81,69,64,68,28,80,67,64,66,86,Right,30
Oussama El Azzouzi,70,55,58,64,66,69,67,61,66,58,67,Right,23
Oualid El Hajjam,70,68,45,64,66,69,72,60,67,69,72,Right,33
Farid El Melali,70,71,61,63,77,50,41,65,68,65,46,Right,27
Omar Elabdellaoui,70,75,53,66,70,66,70,66,70,67,74,Right,32
Elgezabal,70,52,50,58,53,70,75,60,65,62,72,Right,31
Juan Elordi,70,62,45,64,68,72,63,38,54,50,67,Left,30
Lukas Engel,70,82,58,63,68,63,69,60,63,63,75,Left,25
Yannik Engelhardt,70,65,46,65,64,68,73,69,68,60,69,Right,23
Ramiro Enrique,70,81,69,62,71,27,65,64,68,70,77,Right,23
Yusuf Erdoğan,70,81,69,66,71,61,64,64,66,66,68,Left,32
Caner Erkin,70,63,71,76,73,66,67,70,70,75,67,Left,35
Patrick Erras,70,33,41,62,49,70,76,62,66,72,71,Right,29
Matías Espinoza,70,76,44,60,62,65,69,58,69,62,73,Left,27
Michael Estrada,70,76,65,51,67,24,73,55,62,60,90,Right,28
Nené,70,63,72,66,69,64,79,66,75,67,74,Left,29
Alieu Fadera,70,82,64,62,74,57,71,65,64,69,73,Right,22
Diego Fagundez,70,74,63,68,74,39,62,68,66,68,62,Right,29
José Fajardo,70,67,70,57,66,33,68,52,62,62,79,Right,31
Maximiliano Falcón,70,75,40,34,41,67,87,30,70,52,85,Right,27
Wuilker Faríñez,70,70,66,64,75,52,69,66,67,45,59,Right,26
Raúl Fernández,70,68,70,67,70,38,69,49,66,54,67,Right,36
Fei Nanduo,70,80,62,65,74,39,63,66,69,69,63,Left,31
Joan Femenías,70,70,66,56,74,25,67,33,72,44,56,Right,28
Thiago Fernández,70,80,57,68,74,47,57,68,65,65,62,Right,20
Sebastián Ferreira,70,71,70,57,72,38,62,60,72,61,73,Right,26
Juninho,70,74,48,53,63,67,79,32,66,69,88,Left,29
Héctor Fertoli,70,80,63,64,71,44,61,59,62,64,65,Right,29
Kiril Fesiun,70,70,67,69,71,36,72,46,58,44,59,Right,22
Bård Finne,70,77,70,61,71,27,64,63,69,67,74,Right,29
Will Fish,70,63,34,52,56,69,77,47,66,62,80,Right,21
Mamadou Fofana,70,64,33,54,63,69,77,55,66,58,78,Right,26
Lamine Fomba,70,67,52,63,71,69,79,62,67,67,78,Right,26
Carlos Forbs,70,90,67,62,70,36,54,61,68,69,65,Left,20
Marcus Forss,70,74,70,54,67,39,69,54,70,65,75,Right,25
Marlon Fossey,70,85,47,64,70,65,71,62,67,64,90,Right,26
Bartol Franjić,70,69,50,62,65,67,75,65,69,64,82,Left,24
Michael Frey,70,57,71,62,61,41,86,67,70,73,83,Right,30
Christian Früchtl,70,73,68,67,71,24,66,44,62,22,56,Left,24
Jay Fulton,70,60,56,64,67,70,74,63,66,67,74,Right,30
Nahuel Furtado,70,75,57,56,65,68,60,54,60,58,67,Right,26
Samuel Galindo,70,74,68,72,70,49,66,76,65,66,82,Left,32
Enric Gallego,70,54,71,58,64,25,74,65,72,70,81,Left,38
Jonathan Galván,70,58,59,62,67,68,80,58,72,70,80,Right,32
Lucas Gamba,70,76,69,69,74,28,64,71,68,74,83,Right,37
Cristian Gamboa,70,77,47,64,68,66,69,63,67,67,76,Right,34
Fran Gámez,70,79,53,61,65,66,74,62,66,60,76,Right,33
Damián García,70,60,61,65,63,71,68,68,69,68,72,Right,21
Diego García,70,75,70,51,67,23,57,50,66,65,79,Right,24
Imanol,70,67,47,66,65,68,55,61,63,58,56,Left,24
Nicolas Gavory,70,63,62,70,70,67,69,68,69,68,71,Left,29
Denis Genreau,70,60,62,68,69,64,68,72,72,70,55,Right,25
Pieter Gerkens,70,52,70,70,68,66,67,70,75,73,72,Right,29
Willem Geubbels,70,79,69,59,71,26,67,63,67,70,74,Right,23
Lautaro Giaccone,70,70,65,67,72,32,46,70,66,64,48,Right,23
Leonardo Gil,70,59,67,73,70,63,71,74,65,68,70,Left,33
Gastón Giménez,70,61,59,67,70,65,80,70,66,75,74,Left,33
Josh Ginnelly,70,91,69,61,74,46,63,61,64,69,77,Right,27
Daniel Giraldo,70,73,48,65,62,68,77,67,58,64,80,Right,32
Federico Girotti,70,61,70,57,65,36,74,56,67,71,84,Right,25
Klaus Gjasula,70,34,51,55,53,69,82,59,67,67,70,Right,34
Erik Godoy,70,58,32,55,51,69,77,30,67,58,75,Right,31
Aníbal Godoy,70,43,55,65,65,63,75,64,65,70,59,Left,34
Gastón Gómez,70,70,65,71,72,33,71,48,67,47,69,Right,28
Andrés Gómez,70,78,66,63,72,32,58,68,72,50,64,Right,21
Josué Sá,70,53,36,49,64,70,74,34,70,66,65,Right,32
Zeca,70,65,58,68,65,71,60,64,70,75,62,Right,36
Lucas González,70,75,58,70,74,61,72,74,70,74,73,Right,24
Oumar Gonzalez,70,50,37,39,56,70,78,26,68,63,81,Right,26
Dominik Greif,70,69,70,74,68,18,69,34,66,32,51,Right,27
Anto Grgić,70,61,68,75,67,64,74,73,69,74,74,Right,27
Guerrero,70,74,67,67,69,66,72,70,66,68,75,Left,26
Makhtar Gueye,70,63,69,55,60,32,85,58,66,62,89,Right,26
Jérémy Guillemenot,70,79,69,65,67,38,68,65,67,61,77,Right,26
Fredrik Gulbrandsen,70,84,69,60,72,40,77,59,66,62,83,Right,32
Semih Güler,70,72,37,48,56,70,78,28,63,64,78,Right,29
Jostein Gundersen,70,55,45,53,58,70,75,42,70,65,74,Right,28
Simon Gustafson,70,60,71,73,71,63,76,77,72,76,73,Left,29
Kevin Gutiérrez,70,77,60,67,72,63,71,66,65,63,67,Right,27
Cristian Gutiérrez,70,77,62,68,69,67,56,63,69,57,73,Left,23
Christian Gytkjær,70,50,73,57,68,33,66,61,73,73,77,Right,34
Dennis Hadžikadunić,70,63,30,49,54,69,76,35,68,66,74,Right,26
Nikita Haikin,70,71,67,70,72,51,68,62,68,57,67,Right,29
Geoffry Hairemans,70,41,73,79,72,47,67,79,71,74,57,Left,32
Han Kook Young,70,58,53,67,65,65,74,70,61,63,68,Right,34
Jesper Hansen,70,70,68,67,69,41,69,68,74,66,62,Right,39
Ridgeciano Haps,70,81,63,64,71,64,67,55,64,66,72,Left,31
Ryan Hardie,70,85,68,48,69,25,63,45,66,61,80,Right,27
Daiki Hashioka,70,70,59,65,68,65,76,66,70,59,74,Right,25
Haissem Hassan,70,88,61,58,79,26,57,58,60,60,65,Left,22
Gabriel Hauche,70,69,68,69,72,46,68,68,69,65,71,Right,37
Kristoffer Haugen,70,79,60,65,65,63,74,63,65,62,74,Left,30
Ryan Hedges,70,79,64,64,71,39,58,70,60,69,65,Left,29
Simon Hedlund,70,88,60,65,70,29,69,71,71,64,69,Right,31
Liam Henderson,70,72,64,68,71,66,78,66,72,70,71,Right,28
Markus Henriksen,70,54,66,67,65,70,78,66,75,67,75,Right,32
Lucas Áfrico,70,48,41,56,52,70,76,38,64,58,69,Left,29
Diego Herazo,70,72,74,58,68,27,67,58,59,59,76,Right,28
Leonardo Heredia,70,65,69,67,70,43,72,72,69,71,80,Right,28
Onel Hernández,70,84,64,62,73,34,73,67,64,65,76,Right,31
Lucas Hernández,70,55,52,67,65,70,69,54,70,68,70,Left,32
Andrew Hjulsager,70,65,68,70,72,62,67,75,66,75,63,Right,29
Mees Hoedemakers,70,55,59,69,66,64,73,66,66,68,66,Left,26
André Hoffmann,70,41,38,54,56,70,73,47,68,63,78,Right,31
Duane Holmes,70,76,65,66,73,61,63,69,68,68,60,Right,29
Carlo Holse,70,78,63,66,72,53,66,69,65,64,61,Left,25
Mathias Honsak,70,84,63,62,70,50,69,64,58,55,75,Left,27
Michael Hoyos,70,78,69,66,71,37,70,70,71,64,80,Right,33
Jakub Hromada,70,69,59,64,68,68,75,66,66,71,72,Right,28
Valber Huerta,70,43,24,42,41,71,79,32,65,61,75,Left,31
Andrew Hughes,70,60,42,62,60,70,78,50,68,62,78,Left,32
Denis Huseinbašić,70,69,62,64,69,61,71,73,70,70,65,Right,23
Shaun Hutchinson,70,43,29,50,50,71,76,53,68,56,74,Right,33
Dominic Hyam,70,53,32,54,58,70,76,48,69,65,77,Right,28
Pablo Ibáñez,70,57,59,66,67,64,57,70,70,59,53,Right,25
George Ilenikhena,70,81,71,56,69,26,61,55,60,65,81,Left,18
Emanuel Insua,70,75,54,58,64,67,74,58,66,60,77,Left,33
Insua,70,45,37,54,53,71,71,52,63,59,71,Right,31
Robin Jansson,70,48,28,53,59,71,75,47,52,59,77,Left,32
Adis Jasic,70,79,59,64,66,64,74,66,64,60,76,Right,21
Danley Jean Jacques,70,69,51,65,67,67,74,62,65,69,74,Left,24
Jeong Jae Hee,70,89,69,59,72,46,68,61,67,67,69,Right,30
Reinier,70,67,68,66,76,42,63,66,68,73,68,Right,22
Ísak Bergmann Jóhannesson,70,68,60,69,71,63,71,68,69,69,63,Left,21
Marco John,70,74,53,69,71,64,55,64,67,62,52,Left,22
Sean Johnson,70,70,65,70,74,42,69,35,69,50,66,Right,35
Sebastian Jung,70,65,50,66,68,69,70,60,64,72,68,Right,34
Lago Júnior,70,85,68,61,71,33,67,65,61,59,76,Right,33
José Ángel,70,60,61,64,63,64,75,66,67,65,62,Left,32
Stanko Jurić,70,64,66,59,66,68,82,54,63,64,80,Right,28
Mohamed Kaba,70,61,52,58,64,66,77,59,69,56,70,Right,22
Vladyslav Kabaev,70,77,61,65,73,33,50,67,70,60,47,Right,29
Brian Kaltak,70,84,54,55,55,64,87,54,60,68,89,Right,30
Bingourou Kamara,70,72,69,63,70,39,70,26,65,51,69,Right,27
Lindrit Kamberi,70,70,35,59,66,68,73,53,69,66,77,Right,24
Marcin Kamiński,70,52,57,64,59,70,73,56,64,64,77,Left,32
Takuro Kaneko,70,80,64,67,72,54,63,69,70,64,72,Left,27
Evans Kangwa,70,91,67,57,73,38,63,55,66,56,75,Right,31
Jesper Karlström,70,67,54,63,66,69,83,58,66,69,81,Right,29
Pajtim Kasami,70,62,76,67,68,64,87,65,70,70,81,Left,32
Elhan Kastrati,70,70,69,69,73,36,72,30,57,43,50,Right,27
Mikkel Kaufmann,70,80,68,54,66,25,68,56,68,65,83,Right,23
Will Keane,70,62,70,62,69,47,75,68,68,70,77,Right,31
Marvin Keller,70,71,68,67,71,38,72,31,62,24,60,Right,22
Kim Hyeon Ug,70,79,69,64,73,48,60,65,72,63,49,Left,29
Stephen Kingsley,70,56,58,70,71,70,73,68,69,68,71,Left,30
Liam Kitching,70,67,34,53,58,67,79,50,63,67,80,Left,24
Kai Klefisch,70,63,52,58,64,69,78,52,67,63,76,Right,24
László Kleinheisler,70,74,70,68,74,60,74,67,70,74,67,Right,30
Jason Knight,70,69,63,67,71,64,71,68,69,64,70,Right,23
Viktor Kovalenko,70,66,69,71,72,57,70,70,67,69,70,Right,28
Joris Kramer,70,64,36,45,52,71,73,34,58,54,79,Left,28
Ermal Krasniqi,70,81,68,61,71,25,61,64,66,65,63,Left,26
Thomas Thiesson Kristensen,70,65,26,50,59,70,74,45,65,66,81,Right,22
Yuya Kubo,70,70,69,68,71,62,67,67,69,66,68,Right,30
Fredy,70,81,67,67,74,63,59,70,68,75,56,Right,34
Jasmin Kurtić,70,45,73,72,68,68,70,71,62,76,74,Right,35
Dereck Kutesa,70,89,63,64,72,40,65,64,60,66,69,Right,26
Ethan Laird,70,84,54,64,69,63,71,66,69,71,82,Right,23
Larrazabal,70,80,63,65,70,62,74,60,73,65,74,Right,26
Johan Larsson,70,80,63,69,66,63,74,70,68,68,77,Right,34
Kevin Lasagna,70,80,70,62,70,37,68,63,70,67,80,Left,32
Joel Latibeaudiere,70,66,38,58,63,70,74,51,68,67,75,Right,24
Josh Laurent,70,77,60,61,68,69,85,63,66,68,84,Right,29
Rasmus Lauritsen,70,55,41,56,52,70,76,53,68,60,79,Right,28
Lazo,70,75,67,70,71,32,55,66,65,65,58,Right,28
Julien Le Cardinal,70,66,31,62,65,70,74,60,72,66,75,Right,27
Antoine Leautey,70,90,64,63,71,45,54,65,63,55,54,Right,28
Lee Gyu Seong,70,69,44,61,66,67,75,66,66,65,62,Right,30
Lee Soon Min,70,68,61,65,69,67,79,68,68,58,70,Right,30
Álvaro Lemos,70,82,64,64,70,63,80,63,65,67,82,Right,31
Donovan Léon,70,70,67,66,72,47,69,43,66,48,71,Right,31
Brayan León,70,80,69,52,67,20,61,60,75,61,80,Right,23
Bruno Leyes,70,73,52,62,69,64,77,70,65,53,71,Left,22
Gastón Lezcano,70,69,71,64,74,24,63,64,63,73,71,Right,37
Lim Chai Min,70,70,38,48,50,69,79,34,63,58,85,Right,33
Pablo Lima,70,60,52,71,61,61,73,74,70,55,66,Right,34
Luquinhas,70,79,64,67,75,35,58,67,68,73,65,Right,27
Andreas Linde,70,71,64,66,74,48,72,57,62,57,65,Right,31
Leandro Andrade,70,75,68,63,73,29,60,70,68,65,72,Right,24
Marcos Lliuya,70,78,70,66,72,45,62,77,62,65,61,Right,32
Stjepan Lončar,70,56,66,67,68,65,72,72,73,72,64,Left,27
Daniel Londoño,70,70,47,62,62,64,75,59,65,50,76,Left,29
Kevin Long,70,48,35,50,55,70,70,50,66,66,77,Right,34
Aaron Long,70,78,39,54,60,68,80,59,65,65,92,Right,31
Santiago Longo,70,54,48,65,65,69,74,64,67,67,69,Right,26
Pedro Pereira,70,72,54,69,71,69,63,67,70,71,66,Right,26
Julián López,70,70,49,64,70,67,69,65,64,64,69,Right,24
Lisandro López,70,52,72,70,72,53,60,68,67,80,70,Right,41
Javi López,70,77,29,54,59,67,68,43,65,52,74,Left,22
Jamal Lowe,70,84,69,60,72,40,69,65,66,71,81,Right,30
Leandro Lozano,70,78,56,63,66,65,69,60,66,65,77,Right,25
Pol Lozano,70,71,59,66,67,65,69,70,68,63,63,Right,24
Joe Lumley,70,71,66,74,72,44,68,53,64,28,64,Right,29
André Ferreira,70,70,66,66,72,38,70,49,64,38,66,Right,28
Zinédine Machach,70,72,66,67,74,42,79,70,60,69,78,Right,28
Yohann Magnin,70,65,57,62,65,67,69,67,69,69,67,Right,27
Adam Maher,70,61,70,71,73,67,60,63,63,73,58,Right,31
Seiya Maikuma,70,74,60,64,67,65,67,62,67,63,68,Right,26
Jordy Makengo,70,82,30,58,64,67,72,52,67,56,82,Left,23
Cephas Malele,70,84,67,48,68,33,83,47,63,68,86,Right,30
Darian Males,70,78,65,69,72,36,66,69,64,66,73,Left,23
Anthony Mandréa,70,71,64,63,74,44,71,15,63,51,61,Right,27
Dominik Marczuk,70,71,63,65,69,57,61,65,65,57,55,Right,20
Matías Marín,70,67,65,67,71,27,42,73,63,61,37,Left,24
Alejandro Marqués,70,69,70,55,70,36,63,59,62,67,83,Right,24
Agustín Martegani,70,73,67,71,72,58,63,73,60,73,63,Left,24
Andrés Martín,70,80,69,64,69,27,65,60,67,62,76,Left,25
Cris Martínez,70,82,70,61,71,26,79,59,67,66,88,Left,31
Alejandro Martínez,70,83,68,59,74,33,63,46,65,69,66,Left,27
Braian Martínez,70,82,65,61,75,41,73,60,62,75,81,Right,25
Javi Martínez,70,65,64,63,71,57,72,67,69,64,67,Right,24
Ángelo Martino,70,76,57,65,71,65,64,67,66,72,70,Left,26
Pedro Santos,70,69,68,70,73,67,64,70,70,73,66,Left,36
Andrea Masiello,70,36,46,58,61,71,68,49,65,75,68,Right,38
Ephron Mason-Clark,70,84,66,63,72,29,71,66,67,68,76,Right,25
Facundo Mater,70,76,63,63,69,66,70,68,65,68,72,Right,26
Marc Mateu,70,65,69,74,70,65,68,75,68,66,72,Left,34
Ifeanyi Mathew,70,79,66,66,71,66,76,66,69,66,73,Right,27
Chrislain Matsima,70,73,34,48,55,69,70,44,68,70,83,Right,22
Brice Maubleu,70,69,67,66,71,40,70,47,67,44,60,Right,34
Alfie May,70,84,71,62,70,39,71,63,70,67,67,Right,31
James McAtee,70,70,64,67,73,41,60,67,68,65,59,Left,21
Ali McCann,70,66,59,65,69,70,74,67,71,69,65,Right,24
Ross McCrorie,70,78,53,61,68,67,83,58,65,69,82,Right,26
Jamie McGrath,70,71,69,67,72,58,62,68,69,78,67,Right,27
Mark McGuinness,70,54,35,50,58,69,79,45,63,54,77,Right,23
Luke McNally,70,49,35,53,60,70,77,47,68,65,78,Right,24
Danny McNamara,70,78,41,60,67,65,69,55,68,64,73,Right,25
Jakov Medić,70,66,52,59,58,67,83,59,66,64,81,Right,26
Jeison Medina,70,76,70,59,70,36,57,57,65,66,76,Right,29
Luis Mejía,70,69,72,68,72,52,65,42,65,31,73,Left,33
Dario Melnjak,70,69,66,63,68,66,66,61,67,71,69,Left,31
Juan Ignacio Méndez,70,67,63,68,72,67,68,69,71,70,70,Right,27
Nathaniel Méndez-Laing,70,87,68,68,72,49,69,72,68,72,76,Right,32
Gideon Mensah,70,76,56,63,70,64,67,54,67,63,71,Left,26
John Mercado,70,86,61,62,74,27,60,68,50,62,62,Left,22
Merquelanz,70,59,74,74,70,45,63,74,68,69,53,Left,29
Karol Mets,70,67,51,58,60,69,80,55,62,61,75,Left,31
Eric Meza,70,83,61,66,72,64,70,67,68,72,74,Right,25
Florian Miguel,70,70,53,61,67,68,74,59,70,68,78,Left,28
Enea Mihaj,70,61,42,50,49,72,71,29,60,63,77,Right,26
Pedro Milans,70,68,47,60,66,66,65,47,63,65,64,Right,22
Lucas Mincarelli,70,70,50,63,66,69,59,58,69,64,64,Left,20
Alan Minda,70,84,66,63,72,51,55,63,63,65,62,Right,21
Ignasi Miquel,70,54,35,56,59,70,71,54,69,60,74,Left,31
Ignacio Miramón,70,66,57,62,68,67,74,58,65,56,63,Right,21
Gerasimos Mitoglou,70,63,31,51,46,68,82,37,67,60,77,Right,24
Koji Miyoshi,70,75,65,68,74,46,49,70,66,64,50,Left,27
Brede Mathias Moe,70,59,43,53,59,70,78,42,69,66,77,Right,32
Sadegh Moharrami,70,83,30,57,67,64,58,57,62,57,65,Right,28
Jayson Molumby,70,61,53,65,68,64,65,69,70,66,59,Right,25
Gabriele Moncini,70,80,69,57,69,37,68,55,67,65,80,Right,28
Thomas Monconduit,70,48,57,67,66,70,74,66,67,68,68,Right,33
Elliott Moore,70,33,30,48,49,69,83,35,67,65,77,Right,27
Giotto Morandi,70,77,68,67,71,52,63,70,66,67,71,Left,25
Weverson,70,81,54,64,63,67,61,60,63,60,72,Left,24
Jorge Morel,70,67,48,61,60,69,78,61,68,56,78,Right,26
Didier Moreno,70,68,40,58,62,68,78,59,71,64,74,Left,32
Stefano Moreo,70,77,65,61,68,47,80,66,70,65,85,Right,31
Yerson Mosquera,70,78,30,49,52,69,73,45,68,65,81,Right,23
Daniel Mosquera,70,70,70,52,67,28,78,48,64,61,85,Right,24
Santiago Mouriño,70,69,36,49,50,69,77,51,67,62,82,Right,22
Karlo Muhar,70,66,48,55,59,69,88,60,66,61,80,Right,28
Samuele Mulattieri,70,71,69,60,69,37,67,60,66,62,75,Right,23
Abdul Mumin,70,77,36,57,63,69,74,48,65,64,81,Right,26
Derry John Murkin,70,87,42,64,66,61,76,54,65,55,73,Left,25
Damián Musto,70,40,49,62,59,69,76,66,65,68,69,Right,37
Yahia Nader,70,59,49,60,61,67,77,58,65,60,70,Right,26
Ádám Nagy,70,67,54,70,73,68,64,66,71,74,61,Right,29
Rúben Vinagre,70,82,55,69,76,64,58,65,72,70,70,Left,25
Maik Nawrocki,70,75,51,57,62,70,69,59,67,62,77,Right,23
Abdoulaye Ndiaye,70,64,31,49,49,71,71,52,68,65,78,Left,22
Andreas Ndoj,70,64,38,53,48,72,73,47,61,52,80,Right,21
Dieumerci Ndongala,70,81,59,64,74,28,42,67,68,72,51,Right,33
Sean Nealis,70,67,32,39,49,69,84,35,67,50,84,Right,27
Ionuț Nedelcearu,70,71,48,56,57,68,79,49,68,70,84,Right,28
Franco Negri,70,77,59,66,71,65,67,64,63,70,73,Left,29
Kiki,70,84,48,61,62,66,68,54,67,61,76,Left,29
Curtis Nelson,70,65,36,52,59,68,82,48,67,59,89,Right,31
Joe Newell,70,53,60,71,69,65,76,70,65,73,67,Left,31
Florian Niederlechner,70,64,71,61,68,36,78,65,72,71,78,Right,33
Håvard Nielsen,70,65,70,67,70,45,74,69,71,72,76,Right,31
Juan Nieto,70,67,62,71,70,59,72,73,62,62,62,Right,31
Dimitrios Nikolaou,70,36,40,44,42,70,78,26,67,59,71,Left,26
Fer Niño,70,67,71,58,68,34,72,55,69,65,78,Right,23
Dan Nistor,70,63,68,71,70,60,69,73,67,72,54,Right,36
Florin Niță,70,69,70,65,72,20,73,39,60,62,62,Right,37
Mathias Normann,70,70,62,69,70,66,74,71,67,68,75,Right,28
Rúben Vezo,70,68,54,62,62,70,73,54,66,67,75,Right,30
Christoffer Nyman,70,78,69,58,66,41,80,67,69,67,85,Right,31
Callum O'Dowda,70,82,60,65,70,51,65,63,67,56,75,Left,29
Aiden O'Neill,70,76,61,65,69,66,78,65,68,69,77,Right,26
Luke O'Nien,70,72,58,62,65,68,82,65,67,63,86,Right,29
Cas Odenthal,70,61,35,54,61,69,74,44,68,68,73,Right,23
Braian Ojeda,70,67,54,64,72,66,69,68,65,61,69,Right,24
Lucas Rosa,70,73,42,57,60,65,62,38,64,52,67,Right,24
Ohi Omoijuanfo,70,76,68,62,67,41,74,64,69,68,83,Right,30
Ado Onaiwu,70,79,69,61,66,38,69,65,68,65,82,Right,28
German Onugkha,70,67,70,54,67,24,79,54,67,67,81,Right,28
Christian Ordoñez,70,83,45,64,67,65,73,70,65,57,72,Right,20
Nicolás Orsini,70,73,67,57,65,31,73,59,67,68,80,Right,30
Kevin Ortiz,70,69,51,61,63,69,73,58,65,62,70,Right,23
José Ortíz,70,72,47,47,53,70,74,34,69,62,81,Right,25
Ben Osborn,70,69,65,70,72,65,63,72,68,67,60,Left,30
Milutin Osmajić,70,78,72,56,62,37,77,59,68,59,86,Right,25
Amine Oudrhiri,70,69,52,70,72,66,68,68,69,74,61,Right,31
Deabeas Owusu-Sekyere,70,86,63,58,74,25,66,62,67,61,74,Right,24
Cenk Özkacar,70,60,36,56,61,69,75,59,66,64,80,Left,23
Sergi Palencia,70,78,56,60,69,65,72,44,65,71,73,Right,28
Kasey Palmer,70,64,64,70,73,54,71,72,65,71,73,Right,27
Victor Pálsson,70,70,52,59,57,68,77,58,68,67,75,Right,33
Ivor Pandur,70,71,68,60,73,39,67,37,70,48,47,Right,24
Park Ji Soo,70,69,48,56,60,70,76,60,58,57,81,Right,30
Park Yong Woo,70,58,58,63,61,65,78,68,64,58,78,Right,31
Alex Paulsen,70,68,65,70,73,49,64,56,78,60,59,Right,22
Leonardo Pavoletti,70,49,68,53,61,39,68,56,63,68,80,Right,35
Bailey Peacock-Farrell,70,70,70,71,71,60,69,64,63,52,70,Left,27
Ben Pearson,70,57,49,62,67,67,76,65,65,67,67,Right,29
Alisson Safira,70,66,72,52,66,25,65,53,72,58,76,Right,29
Matías Pellegrini,70,82,65,63,73,53,61,70,67,69,67,Left,24
Felipe Peña Biafore,70,69,58,66,64,70,71,61,69,68,76,Right,23
Luis Perea,70,51,55,67,65,66,78,64,67,57,74,Right,27
Rodrigo Pinho,70,60,75,60,68,25,61,67,67,68,70,Left,33
Ronald,70,87,62,58,71,33,53,60,72,66,62,Right,23
Bruno Almeida,70,78,70,66,70,25,44,67,61,58,49,Left,28
Antonio Pergreffi,70,49,45,53,54,70,77,46,65,60,75,Left,36
Léo Pétrot,70,65,33,54,58,71,75,42,67,55,79,Left,27
Patrick Pflücke,70,78,63,68,72,47,52,64,65,65,46,Left,27
Matt Phillips,70,73,68,67,70,43,68,68,69,67,74,Right,33
Benedikt Pichler,70,76,68,63,65,33,69,60,61,52,85,Right,27
Charles Pickel,70,63,57,65,68,65,81,66,69,70,78,Right,27
Samuel Piette,70,59,29,56,58,69,78,52,64,60,71,Right,29
Ezequiel Piovi,70,75,64,66,70,67,71,69,70,71,73,Right,32
